시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
93,1135000000,42,서울특별시,노원구,녹천중학교 운동장,1135010200,1135058000,서울특별시 노원구 월계로 376(월계동),4670,127.062383,37.631016,205506.5562,559047.1838
94,1135000000,67,서울특별시,노원구,수락초등학교 운동장,1135010500,1135063000,서울특별시 노원구 동일로 1745(상계동),4930,127.054544,37.683796,204811.2235,564904.8621
95,1135000000,90,서울특별시,노원구,중현어린이공원,1135010400,1135061000,서울특별시 노원구 하계동 272-1,3780,127.065645,37.631881,205794.4519,559143.4177
96,1114000000,39,서울특별시,중구,흥인초등학교 운동장,1114016200,1114066500,서울특별시 중구 청구로6길 11(신당동),1339,127.014267,37.560395,201260.5184,551207.3109
97,1135000000,62,서울특별시,노원구,상계초등학교 운동장,1135010500,1135064000,서울특별시 노원구 상계로9길 39(상계동),1830,127.065671,37.659118,205794.643,562166.4306
98,1135000000,65,서울특별시,노원구,상명초등학교 운동장,1135010600,1135062500,서울특별시 노원구 덕릉로 541(중계동),1700,127.06758,37.648215,205963.9223,560956.461
99,1135000000,81,서울특별시,노원구,용화여자고등학교 운동장,1135010500,1135072000,서울특별시 노원구 동일로 1461(상계동),3370,127.058526,37.658752,205164.1813,562125.4249
100,1114000000,35,서울특별시,중구,청구초등학교 운동장,1114016200,1114064500,서울특별시 중구 다산로 170(신당동),5835,127.013863,37.558392,201224.9014,550985.0003
101,1114000000,42,서울특별시,중구,봉래초등학교 운동장,1114017400,1114068000,서울특별시 중구 손기정로 73(만리동2가),2436,126.964083,37.55629,196826.4122,550752.2223
102,1135000000,47,서울특별시,노원구,노일초등학교 운동장,1135010500,1135063000,서울특별시 노원구 동일로 1625(상계동),2360,127.054761,37.67309,204831.0635,563716.5396
103,1135000000,51,서울특별시,노원구,온곡초등학교 운동장,1135010500,1135071000,서울특별시 노원구 한글비석로52길 59(상계동),1580,127.066109,37.667302,205832.6584,563074.8427
104,1135000000,74,서울특별시,노원구,온곡중학교운동장,1135010500,1135072000,서울특별시 노원구 노원로 492(상계동),264,127.064687,37.660066,205707.7444,562271.5814
105,1135000000,83,서울특별시,노원구,수락중학교 운동장,1135010500,1135063000,서울특별시 노원구 동일로 1729(상계동),4030,127.054568,37.68264,204813.4192,564776.5529
106,1114000000,24,서울특별시,중구,장충단공원,1114014400,1114057000,서울특별시 중구 장충동2가 197-1,32651,127.005037,37.558556,200445.0665,551003.1142
107,1114000000,30,서울특별시,중구,성동글로벌경영고등학교 운동장,1114016200,1114061500,서울특별시 중구 퇴계로 375(신당동),3002,127.013105,37.565554,201157.7723,551779.9427
108,1114000000,32,서울특별시,중구,성동공업고등학교 운동장,1114016300,1114061500,서울특별시 중구 다산로 290(흥인동),3670,127.01649,37.568781,201456.7894,552138.1252
109,1114000000,41,서울특별시,중구,손기정체육공원 ,1114017400,1114068000,서울특별시 중구 손기정로 101(만리동2가),4244,126.964965,37.555396,196904.3455,550652.9279
110,1114000000,29,서울특별시,중구,한양공업고등학교 운동장,1114016200,1114061500,서울특별시 중구 을지로 299(신당동),2601,127.011767,37.565612,201039.61,551786.3489
111,1114000000,23,서울특별시,중구,충무초등학교 운동장,1114014400,1114058000,서울특별시 중구 퇴계로50길 13(장충동2가),3863,127.001883,37.562261,200166.3333,551414.3191
112,1135000000,56,서울특별시,노원구,공연초등학교 운동장,1135010300,1135059500,서울특별시 노원구 동일로192가길 16(공릉동),3800,127.074461,37.62695,206573.1196,558596.6768
113,1135000000,57,서울특별시,노원구,연촌초등학교 운동장,1135010400,1135061100,서울특별시 노원구 공릉로58길 36(하계동),3680,127.072801,37.634747,206425.875,559461.9195
114,1135000000,53,서울특별시,노원구,월계고등학교 운동장,1135010200,1135057000,서울특별시 노원구 초안산로5길 66(월계동),1760,127.048725,37.631805,204300.9881,559134.0201
115,1114000000,52,서울특별시,중구,덕수초등학교 운동장,1114016700,1114052000,서울특별시 중구 덕수궁길 140(정동),2536,126.974526,37.568468,197749.4865,552103.5407
116,1123000000,20,서울특별시,동대문구,용두초등학교 운동장,1123010200,1123053600,서울특별시 동대문구 천호대로13길 43(용두동),529,127.028934,37.575628,202555.8811,552898.2579
117,1123000000,31,서울특별시,동대문구,전농초등학교 운동장,1123010400,1123056000,서울특별시 동대문구 사가정로 66(전농동),2066,127.054528,37.574218,204816.9002,552742.8265
118,1123000000,42,서울특별시,동대문구,간데메공원,1123010500,1123060000,서울특별시 동대문구 서울시립대로2길 59(답십리동),15179,127.048752,37.573324,204306.7257,552643.3462
119,1123000000,50,서울특별시,동대문구,안골어린이공원,1123010600,1123065000,서울특별시 동대문구 천호대로77다길 20(장안동),1652,127.064349,37.56532,205685.1601,551755.797
120,1123000000,40,서울특별시,동대문구,신답초등학교 운동장,1123010500,1123060000,서울특별시 동대문구 천호대로 177(답십리동),1942,127.043338,37.572881,203828.4221,552593.9301
121,1123000000,27,서울특별시,동대문구,성일중학교 운동장,1123010300,1123054500,서울특별시 동대문구 왕산로23길 55(제기동),441,127.033915,37.581178,202995.6595,553514.4217
122,1123000000,30,서울특별시,동대문구,동대문중학교 운동장,1123010400,1123056000,서울특별시 동대문구 사가정로 59(전농동),2031,127.052434,37.574246,204631.9018,552745.792
123,1123000000,51,서울특별시,동대문구,장일어린이공원,1123010600,1123065000,서울특별시 동대문구 장안동 164-1,992,127.065186,37.569913,205758.7196,552265.6509
124,1123000000,39,서울특별시,동대문구,답십리초등학교 운동장,1123010500,1123060000,서울특별시 동대문구 전농로3길 23(답십리동),2550,127.055412,37.568669,204895.3609,552126.9378
125,1123000000,49,서울특별시,동대문구,장평근린공원,1123010600,1123065000,서울특별시 동대문구 장안벚꽃로 67(장안동),15698,127.074007,37.567317,206538.2049,551978.0171
126,1123000000,60,서울특별시,동대문구,경희초등학교 운동장,1123010800,1123071000,서울특별시 동대문구 경희대로 23(회기동),4500,127.049525,37.59485,204373.7058,555032.4512
127,1123000000,56,서울특별시,동대문구,늘봄어린이공원,1123010600,1123065000,서울특별시 동대문구 장한로26나길 6(장안동),1659,127.072386,37.571455,206394.6919,552437.2447
128,1123000000,70,서울특별시,동대문구,서울반도체고등학교 운동장,1123010900,1123073000,서울특별시 동대문구 겸재로 21(휘경동),3456,127.069856,37.584888,206170.0424,553927.9629
